# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions
# and other software and tools, and any partner logic
# functions, and any output files from any of the foregoing
# (including device programming or simulation files), and any
# associated documentation or information are expressly subject
# to the terms and conditions of the Intel Program License
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# Generated on: Sun Dec 05 01:20:07 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
IO_SCL,Bidir,PIN_AC18,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
IO_SDA,Bidir,PIN_Y17,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
I_CLK,Input,PIN_AF14,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
I_MEM_ADDRESS_B_BITS[7],Input,PIN_AC9,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
I_MEM_ADDRESS_B_BITS[6],Input,PIN_AE11,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
I_MEM_ADDRESS_B_BITS[5],Input,PIN_AD12,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
I_MEM_ADDRESS_B_BITS[4],Input,PIN_AD11,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
I_MEM_ADDRESS_B_BITS[3],Input,PIN_AF10,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
I_MEM_ADDRESS_B_BITS[2],Input,PIN_AF9,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
I_MEM_ADDRESS_B_BITS[1],Input,PIN_AC12,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
